AgeNormalized,HeightNormalized,WeightNormalized,Sex,Place of birth,Name,Country,Age,Height,Weight,Gold,Silver,Bronze,Total,Sport,Event
0.538461538,0.438202247,0.159340659,F,DEN ,Tina Gramkov,Denmark,41,171,65,0,0,0,0,Sailing,Women's Elliott 6m
0.711538462,0.460674157,0.142857143,F,USA ,Tina Konyot,United States of America,50,173,62,0,0,0,0,Equestrian,"Individual Dressage, Team Dressage, CALECTO V"
0.192307692,0.494382022,0.148351648,F,CRO ,Tina Mihelic,Croatia,23,176,63,0,0,0,0,Sailing,Women's Laser Radial
0.211538462,0.370786517,0.148351648,F,SLO ,Tina Mrak,Slovenia,24,165,63,0,0,0,0,Sailing,Women's 470
0.192307692,0.460674157,0.126373626,F,SLO ,Tina Sutej,Slovenia,23,173,59,0,0,0,0,Athletics,Women's Pole Vault
0.384615385,0.550561798,0.192307692,F,HOLM,Tine Baun,Denmark,33,181,71,0,0,0,0,Badminton,Women's Singles
0.615384615,0.370786517,0.120879121,F,SWE ,Tinne Vilhelmson Silfven,Sweden,45,165,58,0,0,0,0,Equestrian,"Individual Dressage, Team Dressage, DON AURIELLO"
0.307692308,0.595505618,0.285714286,M,GER ,Tino Haber,Germany,29,185,88,0,0,0,0,Athletics,Men's Javelin Throw
0.288461538,0.438202247,0.153846154,M,GER ,Tino Mohaupt,Germany,28,171,64,0,0,0,0,Shooting,Men's 10m Air Rifle
0.269230769,0.370786517,0.065934066,F,ETH ,Tirunesh Dibaba,Ethiopia,27,165,48,0,0,0,0,Athletics,"Women's 5000m, Women's 10,000m"
0.096153846,0.539325843,0.159340659,F,SLO ,Tjasa Oder,Slovenia,18,180,65,0,0,0,0,Swimming,Women's 800m Freestyle
0.096153846,0.438202247,0.115384615,F,SLO ,Tjasa Vozel,Slovenia,18,171,57,0,0,0,0,Swimming,Women's 100m Breaststroke
0.211538462,0.393258427,0.082417582,F,NAM ,Tjipekapora Herunga,Namibia,24,167,51,0,0,0,0,Athletics,Women's 400m
0.269230769,0.460674157,0.21978022,M,FEGA,Toafitu Perive,Samoa,27,173,76,0,0,0,0,Weightlifting,Men's 77kg
0.211538462,0.292134831,0.131868132,M,GER ,Tobias Englmaier,Germany,24,158,60,0,0,0,0,Judo,Men's -60kg
0.269230769,0.707865169,0.269230769,M,CAN ,Tobias Oriwol,Canada,27,195,85,0,0,0,0,Swimming,"Men's 200m Backstroke, Men's 4x200m Freestyle Relay"
0.269230769,0.505617978,0.230769231,M,GER ,Tobias Schadewaldt,Germany,27,177,78,0,0,0,0,Sailing,Men's 49er
0.384615385,0.539325843,0.208791209,M,GER ,Tobias Unger,Germany,33,180,74,0,0,0,0,Athletics,Men's 4 x 100m Relay
0.25,0.516853933,0.175824176,M,uver,Toby Ng,Canada,26,178,68,0,0,0,0,Badminton,Mixed Doubles
0.442307692,0.629213483,0.225274725,M,USA ,Todd Wells,United States of America,36,188,77,0,0,0,0,Cycling - Mountain Bike,Men's Cross-country
0.307692308,0.764044944,0.32967033,M,BUL ,Todor Aleksiev,Bulgaria,29,200,96,0,0,0,0,Volleyball,Men's Volleyball
0.173076923,0.651685393,0.225274725,M,BUL ,Todor Skrimov,Bulgaria,22,190,77,0,0,0,0,Volleyball,Men's Volleyball
0.211538462,0.404494382,0.148351648,F,PNG ,Toea Wisil,Papua New Guinea,24,168,63,0,0,0,0,Athletics,Women's 100m
0.115384615,0.449438202,0.131868132,M,AZE ,Toghrul Asgarov,Azerbaijan,19,172,60,0,0,0,0,Wrestling,Men's 60kg Freestyle
0.346153846,0.674157303,0.252747253,M,BEL ,Tom Boonen,Belgium,31,192,82,0,0,0,0,Cycling - Road,Men's Road Race
0.461538462,0.348314607,0.10989011,M,Gent,Tom R Goegebuer,Belgium,37,163,56,0,0,0,0,Weightlifting,Men's 56kg
0.269230769,0.606741573,0.258241758,M,AUS ,Tom Slingsby,Australia,27,186,83,0,0,0,0,Sailing,Men's Laser
0.423076923,0.370786517,0.131868132,M,VEN ,Tomas Aurelio Gil Martinez,Venezuela,35,165,60,0,0,0,0,Cycling - Road,"Men's Individual Time Trial, Men's Road Race"
0.519230769,0.573033708,0.153846154,M,CHI ,Tomas Couve Correa,Chile,40,183,64,0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, UNDERWRAPS"
0.173076923,0.595505618,0.285714286,M,SVK ,Tomas Klobucnik,Slovakia,22,185,88,0,0,0,0,Swimming,Men's 200m Breaststroke
0.326923077,0.438202247,0.203296703,M,POL ,Tomasz Adamiec,Poland,30,171,73,0,0,0,0,Judo,Men's -73kg
0.326923077,0.808988764,0.582417582,M,POL ,Tomasz Majewski,Poland,30,204,142,0,0,0,0,Athletics,Men's Shot Put
0.326923077,0.573033708,0.247252747,M,CRO ,Tomislav Marijanovic,Croatia,30,183,81,0,0,0,0,Judo,Men's -81kg
0.153846154,0.651685393,0.263736264,M,AUS ,Tommaso D'orsogna,Australia,21,190,84,0,0,0,0,Swimming,Men's 4x100m Freestyle Relay
0.153846154,0.550561798,0.230769231,M,ITA ,Tommaso Rinaldi,Italy,21,181,78,0,0,0,0,Diving,Men's 3m Springboard
0.230769231,0.539325843,0.489010989,M,JPN ,Tomohiko Hoshina,Philippines,25,180,125,0,0,0,0,Judo,Men's +100kg
0.269230769,0.280898876,0.065934066,F,JPN ,Tomoko Fukumi,Japan,27,157,48,0,0,0,0,Judo,Women's -48kg
